
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[   242448 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 10000
[   462896 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 20000
[   668306 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 30000
[   883602 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 40000
[  1095230 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 50000
[  1312818 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 60000
[  1524316 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 70000
[  1735512 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 80000
[  1949746 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 90000
[  2160202 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 100000
[  2369690 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 110000
[  2575134 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 120000
[  2781692 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 130000
[  2988080 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 128, nodes processed = 140000
[  3193826 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 150000
[  3400658 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 160000
[  3607886 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 170000
[  3816010 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 180000
[  4021426 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 190000
[  4222642 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 200000
[  4431946 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 210000
[  4634802 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 220000
[  4838054 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 230000
[  5046064 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 240000
[  5252146 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 250000
[  5457874 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 260000
[  5661362 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 270000
[  5867020 ns] [top.task_PE_5] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 280000
[  6068914 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 290000
[  6272402 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 300000
[  6475594 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 310000
[  6682834 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 128, nodes processed = 320000
[  6892454 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 330000
[  7098278 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 340000
