Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:37:24 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_128_1_1_2/utilization_hier.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------+----------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| fullSysGen                           |                      (top) |     155172 |     144216 |   10956 |    0 | 143707 |    896 |    128 |    0 |          0 |
|   (fullSysGen)                       |                      (top) |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   continuationAllocationSide         | continuationAllocationSide |       7326 |       2150 |    5176 |    0 |  18974 |      0 |      0 |    0 |          0 |
|     continuationNetwork              |                contNetwork |       6530 |       1410 |    5120 |    0 |  17731 |      0 |      0 |    0 |          0 |
|       casServers_0                   |             contAddrServer |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_1                   |        contAddrServer_1159 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_10                  |        contAddrServer_1160 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_100                 |        contAddrServer_1161 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_101                 |        contAddrServer_1162 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_102                 |        contAddrServer_1163 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_103                 |        contAddrServer_1164 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_104                 |        contAddrServer_1165 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_105                 |        contAddrServer_1166 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_106                 |        contAddrServer_1167 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_107                 |        contAddrServer_1168 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_108                 |        contAddrServer_1169 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_109                 |        contAddrServer_1170 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_11                  |        contAddrServer_1171 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_110                 |        contAddrServer_1172 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_111                 |        contAddrServer_1173 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_112                 |        contAddrServer_1174 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_113                 |        contAddrServer_1175 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_114                 |        contAddrServer_1176 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_115                 |        contAddrServer_1177 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_116                 |        contAddrServer_1178 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_117                 |        contAddrServer_1179 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_118                 |        contAddrServer_1180 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_119                 |        contAddrServer_1181 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_12                  |        contAddrServer_1182 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_120                 |        contAddrServer_1183 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_121                 |        contAddrServer_1184 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_122                 |        contAddrServer_1185 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_123                 |        contAddrServer_1186 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_124                 |        contAddrServer_1187 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_125                 |        contAddrServer_1188 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_126                 |        contAddrServer_1189 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_127                 |        contAddrServer_1190 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_13                  |        contAddrServer_1191 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_14                  |        contAddrServer_1192 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_15                  |        contAddrServer_1193 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
