Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:45:50 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_16_1_1_2/utilization_hier.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| fullSysGen                           |                      (top) |      22842 |      20846 |    1996 |    0 | 21785 |    112 |     16 |    0 |          0 |
|   (fullSysGen)                       |                      (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   continuationAllocationSide         | continuationAllocationSide |       1617 |        921 |     696 |    0 |  3520 |      0 |      0 |    0 |          0 |
|     continuationNetwork              |                contNetwork |        817 |        177 |     640 |    0 |  2275 |      0 |      0 |    0 |          0 |
|       casServers_0                   |             contAddrServer |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_1                   |         contAddrServer_151 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_10                  |         contAddrServer_152 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_11                  |         contAddrServer_153 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_12                  |         contAddrServer_154 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_13                  |         contAddrServer_155 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_14                  |         contAddrServer_156 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_15                  |         contAddrServer_157 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_2                   |         contAddrServer_158 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_3                   |         contAddrServer_159 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_4                   |         contAddrServer_160 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_5                   |         contAddrServer_161 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_6                   |         contAddrServer_162 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_7                   |         contAddrServer_163 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_8                   |         contAddrServer_164 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_9                   |         contAddrServer_165 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       networkUnits_0                 |            contAddrNtwUnit |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_1                 |        contAddrNtwUnit_166 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_10                |        contAddrNtwUnit_167 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_11                |        contAddrNtwUnit_168 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_12                |        contAddrNtwUnit_169 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_13                |        contAddrNtwUnit_170 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_14                |        contAddrNtwUnit_171 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
