Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:18:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_32_1_1_2/utilization_hier.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
---------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| fullSysGen                           |                      (top) |      42546 |      39270 |    3276 |    0 | 39238 |    224 |     32 |    0 |          0 |
|   (fullSysGen)                       |                      (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   continuationAllocationSide         | continuationAllocationSide |       2476 |       1140 |    1336 |    0 |  5728 |      0 |      0 |    0 |          0 |
|     continuationNetwork              |                contNetwork |       1667 |        387 |    1280 |    0 |  4483 |      0 |      0 |    0 |          0 |
|       casServers_0                   |             contAddrServer |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_1                   |         contAddrServer_295 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_10                  |         contAddrServer_296 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_11                  |         contAddrServer_297 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_12                  |         contAddrServer_298 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_13                  |         contAddrServer_299 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_14                  |         contAddrServer_300 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_15                  |         contAddrServer_301 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_16                  |         contAddrServer_302 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_17                  |         contAddrServer_303 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_18                  |         contAddrServer_304 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_19                  |         contAddrServer_305 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_2                   |         contAddrServer_306 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_20                  |         contAddrServer_307 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_21                  |         contAddrServer_308 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_22                  |         contAddrServer_309 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_23                  |         contAddrServer_310 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_24                  |         contAddrServer_311 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_25                  |         contAddrServer_312 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_26                  |         contAddrServer_313 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_27                  |         contAddrServer_314 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_28                  |         contAddrServer_315 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_29                  |         contAddrServer_316 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_3                   |         contAddrServer_317 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_30                  |         contAddrServer_318 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_31                  |         contAddrServer_319 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_4                   |         contAddrServer_320 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_5                   |         contAddrServer_321 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_6                   |         contAddrServer_322 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_7                   |         contAddrServer_323 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_8                   |         contAddrServer_324 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_9                   |         contAddrServer_325 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       networkUnits_0                 |            contAddrNtwUnit |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_1                 |        contAddrNtwUnit_326 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_10                |        contAddrNtwUnit_327 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_11                |        contAddrNtwUnit_328 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_12                |        contAddrNtwUnit_329 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_13                |        contAddrNtwUnit_330 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_14                |        contAddrNtwUnit_331 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_15                |        contAddrNtwUnit_332 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_16                |        contAddrNtwUnit_333 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_17                |        contAddrNtwUnit_334 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_18                |        contAddrNtwUnit_335 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_19                |        contAddrNtwUnit_336 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_2                 |        contAddrNtwUnit_337 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_20                |        contAddrNtwUnit_338 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_21                |        contAddrNtwUnit_339 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_22                |        contAddrNtwUnit_340 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_23                |        contAddrNtwUnit_341 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_24                |        contAddrNtwUnit_342 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_25                |        contAddrNtwUnit_343 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_26                |        contAddrNtwUnit_344 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_27                |        contAddrNtwUnit_345 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_28                |        contAddrNtwUnit_346 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_29                |        contAddrNtwUnit_347 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
