Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:57:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_32_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |    RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
| fullSysGen                           |                      (top) | 42079(3.23%) | 38803(2.98%) | 3276(0.55%) | 0(0.00%) | 39230(1.50%) | 224(11.11%) | 32(0.79%) | 0(0.00%) |   0(0.00%) |
|   (fullSysGen)                       |                      (top) |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|   continuationAllocationSide         | continuationAllocationSide |  2427(0.19%) |  1091(0.08%) | 1336(0.22%) | 0(0.00%) |  5728(0.22%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|     continuationNetwork              |                contNetwork |  1629(0.12%) |   349(0.03%) | 1280(0.21%) | 0(0.00%) |  4483(0.17%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_0                   |             contAddrServer |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_1                   |         contAddrServer_295 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_10                  |         contAddrServer_296 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_11                  |         contAddrServer_297 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_12                  |         contAddrServer_298 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_13                  |         contAddrServer_299 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_14                  |         contAddrServer_300 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_15                  |         contAddrServer_301 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_16                  |         contAddrServer_302 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_17                  |         contAddrServer_303 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_18                  |         contAddrServer_304 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_19                  |         contAddrServer_305 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_2                   |         contAddrServer_306 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_20                  |         contAddrServer_307 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_21                  |         contAddrServer_308 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_22                  |         contAddrServer_309 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_23                  |         contAddrServer_310 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_24                  |         contAddrServer_311 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_25                  |         contAddrServer_312 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_26                  |         contAddrServer_313 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_27                  |         contAddrServer_314 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_28                  |         contAddrServer_315 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_29                  |         contAddrServer_316 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_3                   |         contAddrServer_317 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_30                  |         contAddrServer_318 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_31                  |         contAddrServer_319 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_4                   |         contAddrServer_320 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_5                   |         contAddrServer_321 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_6                   |         contAddrServer_322 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_7                   |         contAddrServer_323 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_8                   |         contAddrServer_324 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_9                   |         contAddrServer_325 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_0                 |            contAddrNtwUnit |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_1                 |        contAddrNtwUnit_326 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_10                |        contAddrNtwUnit_327 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_11                |        contAddrNtwUnit_328 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_12                |        contAddrNtwUnit_329 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_13                |        contAddrNtwUnit_330 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_14                |        contAddrNtwUnit_331 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
