Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:27:23 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_64_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
----------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |    RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
| fullSysGen                           |                      (top) | 80665(6.19%) | 74829(5.74%) | 5836(0.97%) | 0(0.00%) | 74060(2.84%) | 448(22.22%) | 64(1.59%) | 0(0.00%) |   0(0.00%) |
|   (fullSysGen)                       |                      (top) |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|   continuationAllocationSide         | continuationAllocationSide |  4139(0.32%) |  1523(0.12%) | 2616(0.44%) | 0(0.00%) | 10144(0.39%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|     continuationNetwork              |                contNetwork |  3331(0.26%) |   771(0.06%) | 2560(0.43%) | 0(0.00%) |  8899(0.34%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_0                   |             contAddrServer |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_1                   |         contAddrServer_583 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_10                  |         contAddrServer_584 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_11                  |         contAddrServer_585 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_12                  |         contAddrServer_586 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
