Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:31:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_8_1_1_2/utilization_hier.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
--------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| fullSysGen                           |                      (top) |      13389 |      12033 |    1356 |    0 | 13076 |     56 |      8 |    0 |          0 |
|   (fullSysGen)                       |                      (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   continuationAllocationSide         | continuationAllocationSide |       1223 |        847 |     376 |    0 |  2414 |      0 |      0 |    0 |          0 |
|     (continuationAllocationSide)     | continuationAllocationSide |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|     continuationNetwork              |                contNetwork |        419 |         99 |     320 |    0 |  1171 |      0 |      0 |    0 |          0 |
|       casServers_0                   |             contAddrServer |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_1                   |          contAddrServer_79 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_2                   |          contAddrServer_80 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_3                   |          contAddrServer_81 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_4                   |          contAddrServer_82 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_5                   |          contAddrServer_83 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_6                   |          contAddrServer_84 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       casServers_7                   |          contAddrServer_85 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       networkUnits_0                 |            contAddrNtwUnit |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_1                 |         contAddrNtwUnit_86 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_2                 |         contAddrNtwUnit_87 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_3                 |         contAddrNtwUnit_88 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_4                 |         contAddrNtwUnit_89 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_5                 |         contAddrNtwUnit_90 |          3 |          3 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_6                 |         contAddrNtwUnit_91 |          2 |          2 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_7                 |         contAddrNtwUnit_92 |          1 |          1 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       queues_0                       |                  contQueue |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_106 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_1                       |               contQueue_93 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_105 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_2                       |               contQueue_94 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_104 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_3                       |               contQueue_95 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_103 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_4                       |               contQueue_96 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_102 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_5                       |               contQueue_97 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_101 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_6                       |               contQueue_98 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_4_100 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       queues_7                       |               contQueue_99 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|         q                            |                    Queue_4 |         49 |          9 |      40 |    0 |     7 |      0 |      0 |    0 |          0 |
|       vcasNetworkUnits_0             |         contAddrNtwUnitCAS |          6 |          6 |       0 |    0 |    68 |      0 |      0 |    0 |          0 |
|     vcas_0                           |         virtContAddrServer |        801 |        745 |      56 |    0 |  1243 |      0 |      0 |    0 |          0 |
|       (vcas_0)                       |         virtContAddrServer |        520 |        520 |       0 |    0 |  1228 |      0 |      0 |    0 |          0 |
|       rdReq__deq                     |                   Queue_76 |         73 |         69 |       4 |    0 |     5 |      0 |      0 |    0 |          0 |
|       wrReqData__deq                 |                 Queue_2_77 |        125 |         77 |      48 |    0 |     5 |      0 |      0 |    0 |          0 |
|       wrReq__deq                     |                   Queue_78 |         83 |         79 |       4 |    0 |     5 |      0 |      0 |    0 |          0 |
|   stealSide                          |                  stealSide |       9875 |       9671 |     204 |    0 |  8307 |     56 |      8 |    0 |          0 |
|     stealNW_TQ                       |                 stealNW_TQ |       7933 |       7933 |       0 |    0 |  7750 |     56 |      8 |    0 |          0 |
|       stealNet                       |               stealNetwork |        843 |        843 |       0 |    0 |  2861 |      0 |      0 |    0 |          0 |
|         ctrlunits_0                  |       stealNetworkCtrlUnit |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|         ctrlunits_1                  |    stealNetworkCtrlUnit_56 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|         ctrlunits_10                 |    stealNetworkCtrlUnit_57 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
