Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 21:29:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
| fullSysGen                           |                      (top) | 13283(1.02%) | 11927(0.91%) | 1356(0.23%) | 0(0.00%) | 13076(0.50%) | 56(2.78%) | 8(0.20%) | 0(0.00%) |   0(0.00%) |
|   (fullSysGen)                       |                      (top) |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|   continuationAllocationSide         | continuationAllocationSide |  1206(0.09%) |   830(0.06%) |  376(0.06%) | 0(0.00%) |  2414(0.09%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|     (continuationAllocationSide)     | continuationAllocationSide |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|     continuationNetwork              |                contNetwork |   410(0.03%) |    90(0.01%) |  320(0.05%) | 0(0.00%) |  1171(0.04%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_0                   |             contAddrServer |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_1                   |          contAddrServer_79 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_2                   |          contAddrServer_80 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_3                   |          contAddrServer_81 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_4                   |          contAddrServer_82 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_5                   |          contAddrServer_83 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_6                   |          contAddrServer_84 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_7                   |          contAddrServer_85 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_0                 |            contAddrNtwUnit |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_1                 |         contAddrNtwUnit_86 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_2                 |         contAddrNtwUnit_87 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_3                 |         contAddrNtwUnit_88 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
