
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[   613364 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 7211
[   981988 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 14693
[  1275216 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 22177
[  1566044 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 29499
[  1857350 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 36865
[  2151954 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 44420
[  2448628 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 52129
[  2745064 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 59648
[  3035764 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 66981
[  3328376 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 74452
[  3618356 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 81696
[  3909950 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 89054
[  4203192 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 96551
[  4497534 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 104102
[  4791212 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 111589
[  5087862 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 119283
[  5380984 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 126755
[  5672722 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 134122
[  5963528 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 141470
[  6256518 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 148922
[  6548266 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 156321
[  6841164 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 163752
[  7133900 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 171248
[  7426082 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 178652
[  7718812 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 2, nodes processed = 186115
[  8012630 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 193629
[  8305932 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 201105
[  8599340 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 208565
[  8892492 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 216052
[  9187828 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 223662
[  9481918 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 231212
[  9779072 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 238937
[ 10074532 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 246587
[ 10371554 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 254303
[ 10666056 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 261843
[ 10962260 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 269532
[ 11253282 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 276876
[ 11548892 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 284505
[ 11837380 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 291664
[ 12128160 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 1, nodes processed = 298999
[ 12421354 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 306468
[ 12713918 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 313902
[ 13008168 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 321467
[ 13304250 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 329105
[ 13597482 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 336606
[ 13890822 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 344056
[ 14182670 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 351466
[ 14473632 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 358804
[ 14765612 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 366167
[ 15055932 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 373499
[ 15349026 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 380940
[ 15641024 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 388367
[ 15932884 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 395751
[ 16223878 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 403082
[ 16517804 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 410577
[ 16809904 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 418016
[ 17103462 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 425520
[ 17396250 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 432938
[ 17688960 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 440415
[ 17983024 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 447957
[ 18276098 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 455403
[ 18569124 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 462874
[ 18862678 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 470346
[ 19156652 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 1, nodes processed = 477885
[ 19449784 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 485375
[ 19744460 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 492895
[ 20038482 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 500494
[ 20335058 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 2, nodes processed = 508171
[ 20629650 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 1, nodes processed = 515752
[ 20924850 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 523355
[ 21220820 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 530996
